rk,player,pos,age,tm,games,games_started,min_played,made_fg,fg_attempted,fg_perc,made_3p,attempted_3p,perc_3p,made_2p,attempted_2p,perc_2p,effective_fg_perc,made_ft,attemped_ft,ft_perc,off_reb,def_reb,tot_reb,assists,steals,blocks,turnovers,fouls,points,Player-additional,year
1,Kareem Abdul-Jabbar*,C,23,MIL,82,,40.1,13,22.5,0.577,,,,13,22.5,0.577,0.577,5.7,8.3,0.69,,,16,3.3,,,,3.2,31.7,abdulka01,1970
2,John Havlicek*,SF,30,BOS,81,,45.4,11,24.5,0.45,,,,11,24.5,0.45,0.45,6.8,8.4,0.818,,,9,7.5,,,,2.5,28.9,havlijo01,1970
3,Elvin Hayes*,C,25,SDR,82,,44.3,11.6,27,0.428,,,,11.6,27,0.428,0.428,5.5,8.2,0.672,,,16.6,2.3,,,,2.7,28.7,hayesel01,1970
4,Dave Bing*,PG,27,DET,82,,37.4,9.7,20.9,0.467,,,,9.7,20.9,0.467,0.467,7.5,9.4,0.797,,,4.4,5,,,,2.8,27,bingda01,1970
5,Lou Hudson*,SF,26,ATL,76,,41,10.9,22.5,0.484,,,,10.9,22.5,0.484,0.484,5,6.6,0.759,,,5.1,3.4,,,,2.4,26.8,hudsolo01,1970
6,Bob Love,PF,28,CHI,81,,43,9.4,21.1,0.447,,,,9.4,21.1,0.447,0.447,6.3,7.6,0.829,,,8.5,2.3,,,,3.2,25.2,lovebo01,1970
7,Geoff Petrie,SG,22,POR,82,,37,9.6,21.6,0.443,,,,9.6,21.6,0.443,0.443,5.6,7.3,0.772,,,3.4,4.8,,,,2.4,24.8,petrige01,1970
8,Pete Maravich*,SG,23,ATL,81,,36.1,9.1,19.9,0.458,,,,9.1,19.9,0.458,0.458,5,6.2,0.8,,,3.7,4.4,,,,2.9,23.2,maravpe01,1970
9,Billy Cunningham*,SF,27,PHI,81,80,38.1,8.7,18.8,0.462,,,,8.7,18.8,0.462,0.462,5.6,7.7,0.734,,,11.7,4.9,,,,4,23,cunnibi01,1970
10,Tom Van Arsdale,SF,27,CIN,82,,38.4,9.1,20,0.456,,,,9.1,20,0.456,0.456,4.6,6.4,0.721,,,6.1,2.2,,,,3.6,22.9,vanarto01,1970
11,Chet Walker*,SF,30,CHI,81,,36.1,8,17.3,0.465,,,,8,17.3,0.465,0.465,5.9,6.9,0.859,,,7.3,2.2,,,,2.3,22,walkech01,1970
12,Dick Van Arsdale,SG,27,PHO,81,,39,7.5,16.6,0.452,,,,7.5,16.6,0.452,0.452,6.8,8.4,0.811,,,3.9,4.1,,,,3,21.9,vanardi01,1970
13,Walt Frazier*,PG,25,NYK,80,,43.2,8.1,16.5,0.494,,,,8.1,16.5,0.494,0.494,5.4,7,0.779,,,6.8,6.7,,,,3,21.7,fraziwa01,1970
14,Earl Monroe*,PG,26,BAL,81,,35.1,8.2,18.5,0.442,,,,8.2,18.5,0.442,0.442,5,6.2,0.802,,,2.6,4.4,,,,2.7,21.4,monroea01,1970
15,Archie Clark,PG,29,PHI,82,82,39.6,8.1,16.3,0.496,,,,8.1,16.3,0.496,0.496,5.1,6.5,0.787,,,4.8,5.4,,,,2.6,21.3,clarkar01,1970
16,Jo Jo White*,PG,24,BOS,75,,37.2,9.2,19.9,0.464,,,,9.2,19.9,0.464,0.464,2.9,3.6,0.799,,,5,4.8,,,,3.4,21.3,whitejo01,1970
17,Connie Hawkins*,SF,28,PHO,71,,37.5,7.2,16.6,0.434,,,,7.2,16.6,0.434,0.434,6.4,7.9,0.816,,,9.1,4.5,,,,2.8,20.9,hawkico01,1970
18,Willis Reed*,C,28,NYK,73,,39.1,8.4,18.2,0.462,,,,8.4,18.2,0.462,0.462,4.1,5.2,0.785,,,13.7,2,,,,3.1,20.9,reedwi01,1970
19,Jeff Mullins,SG,28,SFW,75,,38.8,8.4,17.4,0.482,,,,8.4,17.4,0.482,0.482,4,4.8,0.844,,,4.5,4.4,,,,3.3,20.8,mullije01,1970
20,Wilt Chamberlain*,C,34,LAL,82,,44.3,8.1,15,0.545,,,,8.1,15,0.545,0.545,4.4,8.2,0.538,,,18.2,4.3,,,,2.1,20.7,chambwi01,1970
21,Stu Lantz,SG,24,SDR,82,,37.8,7.1,15.9,0.448,,,,7.1,15.9,0.448,0.448,6.3,7.9,0.806,,,5,4.2,,,,2.8,20.6,lantzst01,1970
22,Bob Kauffman,C,24,BUF,78,,35.6,7.9,16.8,0.471,,,,7.9,16.8,0.471,0.471,4.6,6.2,0.74,,,10.7,4.5,,,,3.4,20.4,kauffbo01,1970
23,Don May,SF,25,BUF,76,,35.1,8.3,17.6,0.471,,,,8.3,17.6,0.471,0.471,3.6,4.6,0.791,,,7.5,2,,,,2.9,20.2,maydo01,1970
24,Nate Thurmond*,C,29,SFW,82,,40.9,7.6,17.1,0.445,,,,7.6,17.1,0.445,0.445,4.8,6.6,0.73,,,13.8,3.1,,,,2.3,20,thurmna01,1970
25,Lenny Wilkens*,PG,33,SEA,71,,37.2,6.6,15.8,0.419,,,,6.6,15.8,0.419,0.419,6.5,8.1,0.803,,,4.5,9.2,,,,2.8,19.8,wilkele01,1970
26,Oscar Robertson*,PG,32,MIL,81,,39.4,7.3,14.7,0.496,,,,7.3,14.7,0.496,0.496,4.8,5.6,0.85,,,5.7,8.2,,,,2.5,19.4,roberos01,1970
27,Dick Snyder,SG,26,SEA,82,,34.4,7.9,14.8,0.531,,,,7.9,14.8,0.531,0.531,3.7,4.4,0.837,,,3.1,4.3,,,,3,19.4,snydedi01,1970
28,Jerry Lucas*,PF,30,SFW,80,,40.6,7.8,15.6,0.498,,,,7.8,15.6,0.498,0.498,3.6,4.6,0.787,,,15.8,3.7,,,,2.5,19.2,lucasje01,1970
29,Jack Marin,SF,26,BAL,82,,35.6,7.6,16.6,0.46,,,,7.6,16.6,0.46,0.46,3.5,4.2,0.848,,,6.3,2.6,,,,3.2,18.8,marinja01,1970
30,Hal Greer*,SG,34,PHI,81,69,37.8,7.3,16.9,0.431,,,,7.3,16.9,0.431,0.431,4,5,0.805,,,4.5,4.6,,,,3.6,18.6,greerha01,1970
31,Happy Hairston,PF,28,LAL,80,,36.5,7.2,15.4,0.466,,,,7.2,15.4,0.466,0.466,4.2,5.4,0.782,,,10,2.1,,,,3.2,18.6,hairsha01,1970
32,Jim Barnett,SG,26,POR,78,,30.4,7.2,16.4,0.436,,,,7.2,16.4,0.436,0.436,4.2,5.2,0.811,,,4.8,4.1,,,,2.4,18.5,barneji02,1970
33,Bob Dandridge*,SF,23,MIL,79,,36.2,7.5,14.8,0.509,,,,7.5,14.8,0.509,0.509,3.3,4.8,0.702,,,8,3.5,,,,3.6,18.4,dandrbo01,1970
34,Jerry Sloan*,SG,28,CHI,80,,39.3,7.4,16.8,0.441,,,,7.4,16.8,0.441,0.441,3.5,4.9,0.715,,,8.8,3.5,,,,3.6,18.3,sloanje01,1970
35,Clem Haskins,PG,27,PHO,82,,33.7,6.9,15.6,0.44,,,,6.9,15.6,0.44,0.44,4.1,5.3,0.784,,,4,4.7,,,,2.5,17.8,haskicl01,1970
36,Walt Wesley,C,26,CLE,82,,29.6,6.9,15.1,0.455,,,,6.9,15.1,0.455,0.455,4,5.8,0.687,,,8.7,1,,,,3.6,17.7,weslewa01,1970
37,Jimmy Walker,SG,26,DET,79,,35,6.6,15.2,0.436,,,,6.6,15.2,0.436,0.436,4.4,5.2,0.831,,,2.6,3.4,,,,2.2,17.6,walkeji01,1970
38,Gail Goodrich*,SG,27,LAL,79,,35.5,7.1,14.9,0.475,,,,7.1,14.9,0.475,0.475,3.3,4.3,0.77,,,3.3,4.8,,,,3.3,17.5,goodrga01,1970
39,Dave Cowens*,C,22,BOS,81,,38,6.8,16.1,0.422,,,,6.8,16.1,0.422,0.422,3.4,4.6,0.732,,,15,2.8,,,,4.3,17,cowenda01,1970
40,Johnny Green,PF,37,CIN,75,,28.6,6.7,11.4,0.587,,,,6.7,11.4,0.587,0.587,3.3,5.4,0.617,,,8.7,1.2,,,,3.1,16.7,greenjo01,1970
41,Walt Hazzard,PG,28,ATL,82,,35.1,6.3,13.7,0.459,,,,6.3,13.7,0.459,0.459,3.8,5.1,0.759,,,3.7,6.3,,,,3.4,16.5,abdulma01,1970
42,Tiny Archibald*,PG,22,CIN,82,,35,5.9,13.4,0.444,,,,5.9,13.4,0.444,0.444,4.1,5.4,0.757,,,3,5.5,,,,2.7,16,architi01,1970
43,Norm Van Lier,SG,23,CIN,82,,40.5,5.8,13.9,0.42,,,,5.8,13.9,0.42,0.42,4.4,5.4,0.816,,,7.1,10.1,,,,4.2,16,vanlino01,1970
44,Leroy Ellis,C,30,POR,74,,34.9,6.6,14.8,0.443,,,,6.6,14.8,0.443,0.443,2.8,3.5,0.801,,,12.3,3.2,,,,3.5,15.9,ellisle01,1970
45,Jon McGlocklin,SG,27,MIL,82,,35.3,7,13.1,0.535,,,,7,13.1,0.535,0.535,1.8,2,0.862,,,2.7,3.7,,,,2.3,15.8,mcglojo01,1970
46,Calvin Murphy*,PG,22,SDR,82,,24.6,5.7,12.5,0.458,,,,5.7,12.5,0.458,0.458,4.3,5.3,0.82,,,3,4,,,,3.2,15.8,murphca01,1970
47,Dave DeBusschere*,PF,30,NYK,81,,35.7,6.5,15.3,0.421,,,,6.5,15.3,0.421,0.421,2.7,3.9,0.696,,,11.1,2.7,,,,2.9,15.6,debusda01,1970
48,Bob Lanier*,C,22,DET,82,,24.6,6.1,13.5,0.455,,,,6.1,13.5,0.455,0.455,3.3,4.6,0.726,,,8.1,1.8,,,,3.3,15.6,laniebo01,1970
49,Dick Barnett,SG,34,NYK,82,,34.7,6.6,14.4,0.456,,,,6.6,14.4,0.456,0.456,2.4,3.4,0.694,,,2.9,2.7,,,,2.8,15.5,barnedi01,1970
50,Bingo Smith,SG,24,CLE,77,,30.3,6.4,14.4,0.448,,,,6.4,14.4,0.448,0.448,2.3,3,0.761,,,5.6,3.4,,,,2.3,15.2,smithbi02,1970
51,Kevin Loughery,SG,30,BAL,82,,27.6,5.9,14.5,0.403,,,,5.9,14.5,0.403,0.403,3.4,4,0.831,,,2.7,3.7,,,,3,15.1,loughke01,1970
52,Walt Bellamy*,C,31,ATL,82,,35.5,5.3,10.7,0.493,,,,5.3,10.7,0.493,0.493,4.1,6.8,0.604,,,12.9,2.8,,,,3.3,14.7,bellawa01,1970
53,Don Kojis,SF,32,SEA,79,,27.1,5.7,12.9,0.446,,,,5.7,12.9,0.446,0.446,3.2,4.1,0.778,,,5.5,1.6,,,,2.8,14.6,kojisdo01,1970
54,Ron Williams,PG,26,SFW,82,,34.3,5.2,11.9,0.436,,,,5.2,11.9,0.436,0.436,4,4.8,0.844,,,3,5.9,,,,3.7,14.4,williro01,1970
55,Wes Unseld*,C,24,BAL,74,,39.2,5.7,11.4,0.501,,,,5.7,11.4,0.501,0.501,2.7,4.1,0.657,,,16.9,4,,,,3.2,14.1,unselwe01,1970
56,Don Nelson*,SF,30,BOS,82,,27.5,5,10.7,0.468,,,,5,10.7,0.468,0.468,3.9,5.2,0.744,,,6.9,1.9,,,,2.8,13.9,nelsodo01,1970
57,Stan McKenzie,SF,26,POR,82,,27.9,4.9,11,0.441,,,,4.9,11,0.441,0.441,4,4.8,0.836,,,3.8,2.9,,,,2.9,13.7,mckenst01,1970
58,Sam Lacey,C,22,CIN,81,,32.7,5.8,13.8,0.418,,,,5.8,13.8,0.418,0.418,1.9,2.8,0.687,,,11.3,1.4,,,,3.3,13.5,laceysa01,1970
59,Jim Washington,PF,27,PHI,78,70,32.1,5.1,10.6,0.476,,,,5.1,10.6,0.476,0.476,3.3,4.4,0.762,,,9.6,1.2,,,,3.3,13.4,washiji01,1970
